skill_id,skill_name,cast_time,aftercast,recharge,type,profession,attribute,energy_cost,sacrifice,adrenaline,combo,weapon_req,combo_req,target
64,Mimic,3.0,0.75,10.0,5,5,51,15,0,0,0,0,0,5
65,Arcane Mimicry,2.0,0.75,60.0,5,5,51,15,0,0,0,0,0,4
66,Spirit Shackles,3.0,0.75,8.0,4,5,3,10,0,0,0,0,0,5
67,Shatter Hex,1.0,0.75,10.0,5,5,2,10,0,0,0,0,0,3
68,Drain Enchantment,2.0,0.75,20.0,5,5,3,5,0,0,0,0,0,5
69,Shatter Enchantment,1.0,0.75,20.0,5,5,2,10,0,0,0,0,0,5
70,Disappear,1.0,0.75,60.0,5,5,51,15,0,0,0,0,0,0
71,Unnatural Signet,15.0,0.75,75.0,7,5,1,0,0,0,0,0,0,0
72,Elemental Resistance,0.0,0.0,20.0,3,5,3,10,0,0,0,0,0,0
73,Physical Resistance,0.0,0.0,20.0,3,5,3,10,0,0,0,0,0,0
74,Echo,1.0,0.75,10.0,6,5,51,5,0,0,0,0,0,0
75,Arcane Echo,2.0,0.75,20.0,6,5,51,15,0,0,0,0,0,0
76,Imagined Burden,1.0,0.75,30.0,4,5,1,15,0,0,0,0,0,5
77,Chaos Storm,2.0,0.75,30.0,5,5,2,5,0,0,0,0,0,16
78,Epidemic,0.25,0.75,5.0,5,5,51,5,0,0,0,0,0,5
79,Energy Drain,1.0,0.75,30.0,5,5,3,5,0,0,0,0,0,5
80,Energy Tap,2.0,0.75,30.0,5,5,3,5,0,0,0,0,0,5
81,Arcane Thievery,1.0,0.75,0.0,5,5,2,10,0,0,0,0,0,5
82,Mantra of Recall,1.0,0.75,30.0,6,5,3,10,0,0,0,0,0,0
83,Animate Bone Horror,3.0,0.75,5.0,5,4,5,10,0,0,0,0,0,0
84,Animate Bone Fiend,3.0,0.75,5.0,5,4,5,25,0,0,0,0,0,0
85,Animate Bone Minions,3.0,0.75,5.0,5,4,5,15,0,0,0,0,0,0
86,Grenth's Balance,0.25,0.75,10.0,5,4,51,10,0,0,0,0,0,5
87,Verata's Gaze,1.0,0.75,5.0,5,4,5,5,0,0,0,0,0,5
88,Verata's Aura,0.75,0.75,30.0,6,4,5,15,33,0,0,0,0,0
89,Deathly Chill,1.0,0.75,5.0,5,4,5,10,0,0,0,0,0,5
90,Verata's Sacrifice,2.0,0.75,60.0,5,4,5,10,15,0,0,0,0,0
91,Well of Power,1.0,0.75,15.0,9,4,4,5,0,0,0,0,0,0
92,Well of Blood,1.0,0.75,2.0,9,4,4,10,0,0,0,0,0,0
93,Well of Suffering,1.0,0.75,10.0,9,4,5,10,0,0,0,0,0,0
94,Well of the Profane,3.0,0.75,10.0,9,4,5,25,0,0,0,0,0,0
95,Putrid Explosion,1.0,0.75,5.0,5,4,5,10,0,0,0,0,0,1
96,Soul Feast,1.0,0.75,0.0,5,4,5,10,0,0,0,0,0,0
97,Necrotic Traversal,0.75,0.75,0.0,5,4,5,5,0,0,0,0,0,0
98,Consume Corpse,1.0,0.75,0.0,5,4,5,10,0,0,0,0,0,0
99,Parasitic Bond,1.0,0.75,2.0,4,4,7,5,0,0,0,0,0,5
100,Soul Barbs,2.0,0.75,20.0,4,4,7,10,0,0,0,0,0,5
101,Barbs,2.0,0.75,5.0,4,4,7,10,0,0,0,0,0,5
102,Shadow Strike,2.0,0.75,15.0,5,4,4,10,0,0,0,0,0,5
103,Price of Failure,2.0,0.75,20.0,4,4,7,15,0,0,0,0,0,5
104,Death Nova,2.0,0.75,0.0,6,4,5,5,0,0,0,0,0,3
105,Deathly Swarm,2.0,0.75,6.0,5,4,5,10,0,0,0,0,0,5
106,Rotting Flesh,3.0,0.75,3.0,5,4,5,15,0,0,0,0,0,5
107,Virulence,1.0,0.75,15.0,5,4,5,5,0,0,0,0,0,5
108,Suffering,1.0,0.75,10.0,4,4,7,15,0,0,0,0,0,16
109,Life Siphon,1.0,0.75,5.0,4,4,4,10,0,0,0,0,0,5
110,Unholy Feast,0.75,0.75,8.0,5,4,4,15,0,0,0,0,0,0
111,Awaken the Blood,1.0,0.75,45.0,6,4,4,10,0,0,0,0,0,0
112,Desecrate Enchantments,2.0,0.75,15.0,5,4,7,10,0,0,0,0,0,16
113,Tainted Flesh,1.0,0.75,0.0,6,4,5,5,0,0,0,0,0,3
114,Aura of the Lich,2.0,0.75,45.0,6,4,5,15,0,0,0,0,0,0
115,Blood Renewal,1.0,0.75,7.0,6,4,4,1,15,0,0,0,0,0
116,Dark Aura,1.0,0.75,10.0,6,4,5,10,0,0,0,0,0,3
117,Enfeeble,0.25,0.75,5.0,5,4,7,5,0,0,0,0,0,5
118,Enfeebling Blood,1.0,0.75,8.0,5,4,7,1,10,0,0,0,0,16
119,Blood is Power,0.25,0.75,0.0,6,4,4,1,33,0,0,0,0,4
120,Blood of the Master,1.0,0.75,2.0,5,4,5,5,5,0,0,0,0,0
121,Spiteful Spirit,2.0,0.75,10.0,4,4,7,15,0,0,0,0,0,5
122,Malign Intervention,1.0,0.75,5.0,4,4,5,10,0,0,0,0,0,5
123,Insidious Parasite,1.0,0.75,12.0,4,4,7,15,0,0,0,0,0,5
124,Spinal Shivers,2.0,0.75,15.0,4,4,7,10,0,0,0,0,0,5
125,Wither,2.0,0.75,10.0,4,4,7,10,0,0,0,0,0,5
126,Life Transfer,1.0,0.75,20.0,4,4,4,5,0,0,0,0,0,5
127,Mark of Subversion,2.0,0.75,30.0,4,4,4,10,0,0,0,0,0,5
128,Soul Leech,2.0,0.75,15.0,4,4,4,10,0,0,0,0,0,5
129,Defile Flesh,1.0,0.75,10.0,4,4,7,10,10,0,0,0,0,5
130,Demonic Flesh,1.0,0.75,30.0,6,4,4,5,0,0,0,0,0,0
131,Barbed Signet,1.0,0.75,10.0,7,4,4,0,8,0,0,0,0,5
132,Plague Signet,1.0,0.75,4.0,7,4,7,0,0,0,0,0,0,5
133,Dark Pact,1.0,0.75,2.0,5,4,4,1,10,0,0,0,0,5
134,Order of Pain,2.0,0.75,0.0,6,4,4,10,17,0,0,0,0,0
135,Faintheartedness,1.0,0.75,8.0,4,4,7,10,0,0,0,0,0,5
136,Shadow of Fear,2.0,0.75,5.0,4,4,7,10,0,0,0,0,0,16
137,Rigor Mortis,1.0,0.75,20.0,4,4,7,10,0,0,0,0,0,5
138,Dark Bond,2.0,0.75,20.0,6,4,4,5,0,0,0,0,0,0
139,Infuse Condition,1.0,0.75,20.0,6,4,5,5,0,0,0,0,0,0
140,Malaise,2.0,0.75,2.0,4,4,7,5,0,0,0,0,0,5
141,Rend Enchantments,2.0,0.75,20.0,5,4,7,5,0,0,0,0,0,5
142,Lingering Curse,1.0,0.75,10.0,4,4,7,15,0,0,0,0,0,5
143,Strip Enchantment,1.0,0.75,20.0,5,4,4,10,0,0,0,0,0,5
144,Chilblains,2.0,0.75,8.0,5,4,7,25,0,0,0,0,0,5
145,Signet of Agony,0.75,0.75,8.0,7,4,4,0,10,0,0,0,0,0
146,Offering of Blood,0.25,0.75,15.0,5,4,4,1,20,0,0,0,0,0
147,Dark Fury,0.75,0.75,5.0,6,4,4,10,17,0,0,0,0,0
148,Order of the Vampire,2.0,0.75,5.0,6,4,4,5,17,0,0,0,0,0
149,Plague Sending,1.0,0.75,5.0,5,4,7,1,10,0,0,0,0,16
150,Mark of Pain,1.0,0.75,20.0,4,4,7,10,0,0,0,0,0,5
151,Feast of Corruption,2.0,0.75,20.0,5,4,7,15,0,0,0,0,0,16
152,Taste of Death,0.25,0.75,0.0,5,4,5,5,0,0,0,0,0,14
153,Vampiric Gaze,1.0,0.75,8.0,5,4,4,10,0,0,0,0,0,5
154,Plague Touch,0.75,0.75,0.0,10,4,7,5,0,0,0,0,0,5
155,Vile Touch,0.75,0.75,2.0,10,4,5,10,0,0,0,0,0,5
156,Vampiric Touch,0.75,0.75,2.0,10,4,4,15,0,0,0,0,0,5
157,Blood Ritual,2.0,0.75,2.0,6,4,4,5,17,0,0,0,0,4
158,Touch of Agony,0.75,0.75,3.0,10,4,4,1,10,0,0,0,0,5
159,Weaken Armor,1.0,0.75,5.0,5,4,7,5,0,0,0,0,0,5
160,Windborne Speed,0.75,0.75,5.0,6,6,8,10,0,0,0,0,0,3
161,Lightning Storm,3.0,0.75,0.0,5,6,8,25,0,0,0,0,0,5
162,Gale,1.0,0.75,5.0,5,6,8,10,0,0,0,0,0,5
163,Whirlwind,0.75,0.75,8.0,5,6,8,5,0,0,0,0,0,0
164,Elemental Attunement,1.0,0.75,20.0,6,6,12,10,0,0,0,0,0,0
165,Armor of Earth,0.75,0.75,15.0,6,6,9,10,0,0,0,0,0,0
166,Kinetic Armor,3.0,0.75,60.0,6,6,9,15,0,0,0,0,0,0
167,Eruption,2.0,0.75,30.0,5,6,9,25,0,0,0,0,0,16
168,Magnetic Aura,1.0,0.75,12.0,6,6,9,10,0,0,0,0,0,0
169,Earth Attunement,1.0,0.75,30.0,6,6,9,10,0,0,0,0,0,0
170,Earthquake,3.0,0.75,15.0,5,6,9,25,0,0,0,0,0,16
171,Stoning,1.0,0.75,5.0,5,6,9,15,0,0,0,0,0,5
172,Stone Daggers,1.0,0.75,0.0,5,6,9,5,0,0,0,0,0,5
173,Grasping Earth,0.75,0.75,12.0,4,6,9,10,0,0,0,0,0,0
174,Aftershock,0.75,0.75,10.0,5,6,9,10,0,0,0,0,0,0
175,Ward Against Elements,1.0,0.75,20.0,11,6,9,15,0,0,0,0,0,0
176,Ward Against Melee,1.0,0.75,30.0,11,6,9,15,0,0,0,0,0,0
177,Ward Against Foes,1.0,0.75,20.0,11,6,9,15,0,0,0,0,0,0
178,Ether Prodigy,1.0,0.75,5.0,6,6,12,5,0,0,0,0,0,0
179,Incendiary Bonds,1.0,0.75,7.0,4,6,10,10,0,0,0,0,0,5
180,Aura of Restoration,0.25,0.75,20.0,6,6,12,5,0,0,0,0,0,0
181,Ether Renewal,1.0,0.75,30.0,6,6,12,10,0,0,0,0,0,0
182,Conjure Flame,1.0,0.75,45.0,6,6,10,10,0,0,0,0,0,0
183,Inferno,0.75,0.75,10.0,5,6,10,10,0,0,0,0,0,0
184,Fire Attunement,1.0,0.75,30.0,6,6,10,10,0,0,0,0,0,0
185,Mind Burn,1.0,0.75,5.0,5,6,10,5,0,0,0,0,0,5
186,Fireball,1.5,0.75,7.0,5,6,10,10,0,0,0,0,0,16
187,Meteor,2.0,0.75,30.0,5,6,10,5,0,0,0,0,0,16
188,Flame Burst,0.75,0.75,5.0,5,6,10,15,0,0,0,0,0,0
189,Rodgort's Invocation,2.0,0.75,8.0,5,6,10,25,0,0,0,0,0,16
190,Mark of Rodgort,1.0,0.75,15.0,4,6,10,15,0,0,0,0,0,5
191,Immolate,1.0,0.75,5.0,5,6,10,10,0,0,0,0,0,5
192,Meteor Shower,5.0,0.75,60.0,5,6,10,25,0,0,0,0,0,16
193,Phoenix,1.5,0.75,7.0,5,6,10,10,0,0,0,0,0,16
194,Flare,1.0,0.75,0.0,5,6,10,5,0,0,0,0,0,5
195,Lava Font,1.5,0.75,4.0,5,6,10,10,0,0,0,0,0,0
196,Searing Heat,2.0,0.75,25.0,5,6,10,15,0,0,0,0,0,16
197,Fire Storm,2.0,0.75,20.0,5,6,10,10,0,0,0,0,0,16
198,Glyph of Elemental Power,1.0,0.75,5.0,12,6,51,5,0,0,0,0,0,0
199,Glyph of Energy,1.0,0.75,25.0,12,6,12,5,0,0,0,0,0,0
200,Glyph of Lesser Energy,1.0,0.75,30.0,12,6,12,5,0,0,0,0,0,0
201,Glyph of Concentration,1.0,0.75,10.0,12,6,51,5,0,0,0,0,0,0
202,Glyph of Sacrifice,1.0,0.75,15.0,12,6,51,5,0,0,0,0,0,0
203,Glyph of Renewal,1.0,0.75,10.0,12,6,51,5,0,0,0,0,0,0
204,Rust,1.0,0.75,8.0,4,6,11,10,0,0,0,0,0,16
205,Lightning Surge,1.0,0.75,10.0,4,6,8,10,0,0,0,0,0,5
206,Armor of Frost,1.0,0.75,20.0,6,6,11,5,0,0,0,0,0,0
207,Conjure Frost,1.0,0.75,45.0,6,6,11,10,0,0,0,0,0,0
208,Water Attunement,1.0,0.75,30.0,6,6,11,10,0,0,0,0,0,0
209,Mind Freeze,1.0,0.75,5.0,4,6,11,5,0,0,0,0,0,5
210,Ice Prison,2.0,0.75,30.0,4,6,11,10,0,0,0,0,0,5
211,Ice Spikes,1.5,0.75,10.0,4,6,11,15,0,0,0,0,0,16
212,Frozen Burst,0.75,0.75,8.0,4,6,11,15,0,0,0,0,0,0
213,Shard Storm,1.0,0.75,10.0,4,6,11,10,0,0,0,0,0,5
214,Ice Spear,1.0,0.75,0.0,6,6,11,5,0,0,0,0,0,5
215,Maelstrom,2.0,0.75,30.0,5,6,11,25,0,0,0,0,0,16
216,Iron Mist,1.0,0.75,20.0,6,6,9,10,0,0,0,0,0,0
217,Crystal Wave,0.75,0.75,15.0,5,6,9,15,0,0,0,0,0,0
218,Obsidian Flesh,1.0,0.75,30.0,6,6,9,25,0,0,0,0,0,0
219,Obsidian Flame,1.5,0.75,5.0,5,6,9,5,0,0,0,0,0,5
220,Blinding Flash,0.75,0.75,8.0,5,6,8,10,0,0,0,0,0,5
221,Conjure Lightning,1.0,0.75,45.0,6,6,8,10,0,0,0,0,0,0
222,Lightning Strike,1.0,0.75,5.0,4,6,8,5,0,0,0,0,0,5
223,Chain Lightning,2.0,0.75,6.0,5,6,8,10,0,0,0,0,0,5
224,Enervating Charge,1.0,0.75,8.0,5,6,8,10,0,0,0,0,0,5
225,Air Attunement,1.0,0.75,30.0,6,6,8,10,0,0,0,0,0,0
226,Mind Shock,1.0,0.75,8.0,5,6,8,5,0,0,0,0,0,5
227,Glimmering Mark,1.0,0.75,15.0,4,6,8,10,0,0,0,0,0,5
228,Thunderclap,1.0,0.75,8.0,5,6,8,10,0,0,0,0,0,5
229,Lightning Orb,2.0,0.75,5.0,5,6,8,15,0,0,0,0,0,5
230,Lightning Javelin,1.0,0.75,5.0,5,6,8,5,0,0,0,0,0,5
231,Shock,0.75,0.75,10.0,10,6,8,5,0,0,0,0,0,5
232,Lightning Touch,0.75,0.75,10.0,10,6,8,5,0,0,0,0,0,5
233,Swirling Aura,1.0,0.75,15.0,6,6,11,10,0,0,0,0,0,0
234,Deep Freeze,2.0,0.75,15.0,4,6,11,25,0,0,0,0,0,16
235,Blurred Vision,1.0,0.75,12.0,4,6,11,10,0,0,0,0,0,5
236,Mist Form,1.0,0.75,20.0,6,6,11,5,0,0,0,0,0,0
237,Water Trident,1.0,0.75,3.0,5,6,11,5,0,0,0,0,0,5
238,Armor of Mist,1.0,0.75,30.0,6,6,11,10,0,0,0,0,0,0
239,Ward Against Harm,1.0,0.75,20.0,11,6,11,15,0,0,0,0,0,0
240,Smite,1.0,0.75,10.0,5,3,14,10,0,0,0,0,0,5
241,Life Bond,2.0,0.75,0.0,6,3,15,10,0,0,0,0,0,4
242,Balthazar's Spirit,2.0,0.75,0.0,6,3,14,10,0,0,0,0,0,3
243,Strength of Honor,2.0,0.75,15.0,6,3,14,10,0,0,0,0,0,3
244,Life Attunement,2.0,0.75,0.0,6,3,15,10,0,0,0,0,0,3
245,Protective Spirit,0.25,0.75,5.0,6,3,15,10,0,0,0,0,0,3
246,Divine Intervention,0.25,0.75,30.0,6,3,16,5,0,0,0,0,0,3
247,Symbol of Wrath,2.0,0.75,30.0,5,3,14,5,0,0,0,0,0,0
248,Retribution,2.0,0.75,0.0,6,3,14,10,0,0,0,0,0,3
249,Holy Wrath,1.0,0.75,10.0,6,3,14,10,0,0,0,0,0,4
250,Essence Bond,2.0,0.75,0.0,6,3,51,10,0,0,0,0,0,3
251,Scourge Healing,2.0,0.75,5.0,4,3,14,10,0,0,0,0,0,5
252,Banish,1.0,0.75,10.0,5,3,14,5,0,0,0,0,0,5
253,Scourge Sacrifice,1.0,0.75,5.0,4,3,14,10,0,0,0,0,0,5
254,Vigorous Spirit,0.25,0.75,4.0,6,3,13,5,0,0,0,0,0,3
255,Watchful Spirit,1.0,0.75,5.0,6,3,16,15,0,0,0,0,0,3
256,Blessed Aura,2.0,0.75,2.0,6,3,16,10,0,0,0,0,0,0
257,Aegis,2.0,0.75,30.0,6,3,15,10,0,0,0,0,0,0
258,Guardian,1.0,0.75,4.0,6,3,15,5,0,0,0,0,0,3
259,Shield of Deflection,0.25,0.75,10.0,6,3,15,10,0,0,0,0,0,3
260,Aura of Faith,0.25,0.75,8.0,6,3,15,5,0,0,0,0,0,3
261,Shield of Regeneration,0.25,0.75,8.0,6,3,15,15,0,0,0,0,0,3
262,Shield of Judgment,1.0,0.75,45.0,6,3,14,15,0,0,0,0,0,3
263,Protective Bond,2.0,0.75,0.0,6,3,15,10,0,0,0,0,0,3
264,Pacifism,2.0,0.75,30.0,4,3,15,10,0,0,0,0,0,5
265,Amity,0.25,0.75,45.0,4,3,15,5,0,0,0,0,0,0
266,Peace and Harmony,0.25,0.75,10.0,6,3,16,5,0,0,0,0,0,3
267,Judge's Insight,2.0,0.75,10.0,6,3,14,10,0,0,0,0,0,3
268,Unyielding Aura,0.25,0.75,10.0,6,3,16,5,0,0,0,0,0,0
269,Mark of Protection,1.0,0.75,45.0,6,3,15,10,0,0,0,0,0,3
270,Life Barrier,2.0,0.75,5.0,6,3,15,15,0,0,0,0,0,4
271,Zealot's Fire,0.25,0.75,30.0,6,3,14,10,0,0,0,0,0,0
272,Balthazar's Aura,2.0,0.75,25.0,6,3,14,25,0,0,0,0,0,3
273,Spell Breaker,1.0,0.75,45.0,6,3,16,15,0,0,0,0,0,3
274,Healing Seed,2.0,0.75,25.0,6,3,13,10,0,0,0,0,0,4
275,Mend Condition,0.75,0.75,2.0,5,3,15,5,0,0,0,0,0,4
276,Restore Condition,0.75,0.75,2.0,5,3,15,5,0,0,0,0,0,4
277,Mend Ailment,0.75,0.75,5.0,5,3,15,5,0,0,0,0,0,3
278,Purge Conditions,0.25,0.75,20.0,5,3,51,5,0,0,0,0,0,3
279,Divine Healing,1.0,0.75,12.0,5,3,16,5,0,0,0,0,0,0
280,Heal Area,1.0,0.75,5.0,5,3,13,10,0,0,0,0,0,0
281,Orison of Healing,1.0,0.75,2.0,5,3,13,5,0,0,0,0,0,3
282,Word of Healing,0.75,0.75,3.0,5,3,13,5,0,0,0,0,0,3
283,Dwayna's Kiss,1.0,0.75,3.0,5,3,13,5,0,0,0,0,0,4
284,Divine Boon,0.25,0.75,10.0,6,3,16,5,0,0,0,0,0,0
285,Healing Hands,0.25,0.75,25.0,6,3,13,5,0,0,0,0,0,3
286,Heal Other,0.75,0.75,3.0,5,3,13,10,0,0,0,0,0,4
287,Heal Party,2.0,0.75,2.0,5,3,13,15,0,0,0,0,0,0
288,Healing Breeze,1.0,0.75,5.0,6,3,13,10,0,0,0,0,0,3
289,Vital Blessing,0.75,0.75,2.0,6,3,15,10,0,0,0,0,0,3
290,Mending,2.0,0.75,0.0,6,3,13,10,0,0,0,0,0,3
291,Live Vicariously,2.0,0.75,0.0,6,3,13,5,0,0,0,0,0,3
292,Infuse Health,0.25,0.75,0.0,5,3,13,10,0,0,0,0,0,4
293,Signet of Devotion,2.0,0.75,5.0,7,3,16,0,0,0,0,0,0,3
294,Signet of Judgment,1.0,0.75,20.0,7,3,14,0,0,0,0,0,0,5
295,Purge Signet,2.0,0.75,20.0,7,3,51,0,0,0,0,0,0,3
296,Bane Signet,1.0,0.75,20.0,7,3,14,0,0,0,0,0,0,5
297,Blessed Signet,2.0,0.75,10.0,7,3,16,0,0,0,0,0,0,0
298,Martyr,1.0,0.75,10.0,5,3,51,5,0,0,0,0,0,0
299,Shielding Hands,0.25,0.75,15.0,6,3,15,5,0,0,0,0,0,3
300,Contemplation of Purity,0.25,0.75,10.0,10,3,16,5,0,0,0,0,0,0
301,Remove Hex,1.0,0.75,8.0,5,3,51,5,0,0,0,0,0,3
302,Smite Hex,1.0,0.75,12.0,5,3,14,5,0,0,0,0,0,3
303,Convert Hexes,1.0,0.75,12.0,5,3,15,15,0,0,0,0,0,4
304,Light of Dwayna,4.0,0.75,20.0,5,3,51,25,0,0,0,0,0,0
305,Resurrect,5.0,0.75,8.0,5,3,51,10,0,0,0,0,0,6
306,Rebirth,5.0,0.75,0.0,5,3,15,10,0,0,0,0,0,6
307,Reversal of Fortune,0.25,0.75,2.0,6,3,15,5,0,0,0,0,0,3
308,Succor,1.0,0.75,10.0,6,3,51,5,0,0,0,0,0,4
309,Holy Veil,1.0,0.75,12.0,6,3,51,5,0,0,0,0,0,3
310,Divine Spirit,0.25,0.75,60.0,6,3,16,10,0,0,0,0,0,0
311,Draw Conditions,0.25,0.75,4.0,5,3,15,5,0,0,0,0,0,4
312,Holy Strike,0.75,0.75,8.0,10,3,14,5,0,0,0,0,0,5
313,Healing Touch,0.75,0.75,5.0,5,3,13,5,0,0,0,0,0,3
314,Restore Life,4.0,0.75,8.0,5,3,13,10,0,0,0,0,0,6
315,Vengeance,4.0,0.75,30.0,6,3,51,10,0,0,0,0,0,6
316,"""To the Limit!""",0.0,0.0,15.0,15,1,21,5,0,0,0,0,0,0
317,Battle Rage,0.0,0.0,0.0,3,1,17,0,0,80,0,0,0,0
318,Defy Pain,0.0,0.0,0.0,16,1,17,0,0,120,0,0,0,0
319,Rush,0.0,0.0,0.0,3,1,17,0,0,80,0,0,0,0
320,Hamstring,0.0,0.0,15.0,14,1,20,10,0,0,0,128,0,5
321,Wild Blow,0.0,0.0,8.0,14,1,51,5,0,0,0,185,0,5
322,Power Attack,0.0,0.0,3.0,14,1,17,5,0,0,0,185,0,5
323,Desperation Blow,0.0,0.0,7.0,14,1,21,5,0,0,0,185,0,5
324,Thrill of Victory,0.0,0.0,8.0,14,1,21,5,0,0,0,185,0,5
325,Distracting Blow,0.5,0.0,10.0,14,1,51,5,0,0,0,185,0,5
326,Protector's Strike,0.5,0.0,3.0,14,1,17,5,0,0,0,185,0,5
327,Griffon's Sweep,0.0,0.0,8.0,14,1,17,5,0,0,0,185,0,5
328,Pure Strike,0.0,0.0,8.0,14,1,20,5,0,0,0,128,0,5
329,Skull Crack,0.5,0.0,0.0,14,1,51,0,0,220,0,185,0,5
330,Cyclone Axe,0.0,0.0,4.0,14,1,18,5,0,0,0,1,0,5
331,Hammer Bash,0.0,0.0,0.0,14,1,19,0,0,130,0,16,0,5
